id,osm_id,source,target,length,foot,car_forward,car_backward,bike_forward,bike_backward,train,wkt
139709041-1,139709041,1928803511,1291468014,10.42828175132119,Allowed,Forbidden,Forbidden,Allowed,Allowed,Forbidden,"LINESTRING(4.9042951 52.3684800, 4.9041770 52.3685398)"
139709041-2,139709041,1291468014,46371865,12.316678720483898,Allowed,Forbidden,Forbidden,Allowed,Allowed,Forbidden,"LINESTRING(4.9041770 52.3685398, 4.9040762 52.3685902, 4.9040368 52.3686099)"
139709975-0,139709975,1531100251,1994069516,15.090181179027388,Allowed,Primary,Forbidden,Allowed,Forbidden,Forbidden,"LINESTRING(4.9080674 52.3700034, 4.9081945 52.3700378, 4.9082704 52.3700583)"
139709975-1,139709975,1994069516,7129402701,5.1998598385836114,Allowed,Primary,Forbidden,Allowed,Forbidden,Forbidden,"LINESTRING(4.9082704 52.3700583, 4.9083414 52.3700757)"
139709975-2,139709975,7129402701,8015802429,7.642453739851692,Allowed,Primary,Forbidden,Allowed,Forbidden,Forbidden,"LINESTRING(4.9083414 52.3700757, 4.9084458 52.3701012)"
139709978-0,139709978,8370975583,1531100251,33.72188186604901,Allowed,Primary,Primary,Allowed,Allowed,Forbidden,"LINESTRING(4.9076461 52.3698434, 4.9080674 52.3700034)"
142895466-0,142895466,2308965808,1263352467,5.77517573558239,Allowed,Forbidden,Forbidden,Allowed,Allowed,Forbidden,"LINESTRING(4.9008291 52.3779328, 4.9009115 52.3779201)"
143073711-0,143073711,1565648139,1565648166,68.92956261123835,Allowed,Residential,Forbidden,Allowed,Forbidden,Forbidden,"LINESTRING(4.9060543 52.3761887, 4.9057444 52.3767783)"
143073724-0,143073724,1565648163,1565648145,41.377548744186214,Allowed,Residential,Residential,Allowed,Allowed,Forbidden,"LINESTRING(4.9066827 52.3766123, 4.9070602 52.3765652, 4.9072808 52.3765430)"
143073728-0,143073728,5308668638,1565648166,3.6595695410369187,Allowed,Residential,Residential,Allowed,Allowed,Forbidden,"LINESTRING(4.9057961 52.3767691, 4.9057444 52.3767783)"
143073728-1,143073728,1565648166,5308668636,31.587551603904785,Allowed,Residential,Residential,Allowed,Allowed,Forbidden,"LINESTRING(4.9057444 52.3767783, 4.9053048 52.3768705)"
143073729-0,143073729,6443995324,10700665043,1.598914629827922,Forbidden,Forbidden,Forbidden,Forbidden,Forbidden,Allowed,"LINESTRING(4.9017423 52.3769963, 4.9017657 52.3769978)"
